window_idx,tx_global_idx,tx_in_window_idx,attention_score,window_score,z_amount,density,counterparty_novelty,value_ratio
0,0,0,0.044584959745407104,0.8208615183830261,-0.2731635390375881,1.0,1.0,1000000.0
0,1,1,0.044585078954696655,0.8208615183830261,-0.2731635390375881,1.0,1.0,2000000.0
0,2,2,0.04458519443869591,0.8208615183830261,0.08249757017748809,2.0,1.0,93000000.0
0,3,3,0.04458519443869591,0.8208615183830261,-0.23364563801369076,2.0,0.0,103999999.99999999
0,4,4,0.04458519443869591,0.8208615183830261,-0.2375974281160805,1.0,1.0,113999999.99999999
0,5,5,0.04458519443869591,0.8208615183830261,0.48953195072363087,1.0,1.0,308000000.0
0,6,6,0.04458519443869591,0.8208615183830261,-0.26921174893519834,1.0,1.0,310000000.0
0,7,7,0.044585198163986206,0.8208615183830261,-0.11904372504438841,1.0,1.0,349999999.99999994
0,8,8,0.04458519443869591,0.8208615183830261,-0.07952582402049105,1.0,1.0,399999999.99999994
0,9,9,0.01186916884034872,0.8208615183830261,0.1828730387781874,9.0,0.0,3.436426087315927
0,10,10,0.013421312905848026,0.8208615183830261,-0.07952582402049105,9.0,1.0,3.8659793482304177
0,11,11,0.012071037665009499,0.8208615183830261,-0.07952582402049105,10.0,1.0,4.295532609144908
0,12,12,0.009421681985259056,0.8208615183830261,0.14454067478500696,10.0,0.0,2.2411474574578776
0,13,13,0.010695555247366428,0.8208615183830261,-0.07952582402049105,10.0,1.0,2.465262203203665
0,14,14,0.009419460780918598,0.8208615183830261,-0.07952582402049105,11.0,1.0,2.689376948949453
0,15,15,0.006324367132037878,0.8208615183830261,0.1828730387781874,13.0,0.0,1.7673048548827541
0,16,16,0.0068031963892281055,0.8208615183830261,-0.07557403391810134,13.0,1.0,1.9175257675477884
0,17,17,0.006864672992378473,0.8208615183830261,-0.07952582402049105,13.0,1.0,2.0648011721213515
0,18,18,0.009135656990110874,0.8208615183830261,-0.07952582402049105,11.0,1.0,2.212076576694914
0,19,19,0.012722000479698181,0.8208615183830261,0.1828730387781874,8.0,0.0,1.6472910689903684
0,20,20,0.01741781458258629,0.8208615183830261,-0.07952582402049105,7.0,1.0,1.7569642426914582
0,21,21,0.01740236021578312,0.8208615183830261,-0.07952582402049105,7.0,1.0,1.866637416392548
0,22,22,0.005448485724627972,0.8208615183830261,-0.24826726139253277,1.0,1.0,1.8826496997529072
0,23,23,0.005470301955938339,0.8208615183830261,-0.19807952709218313,1.0,1.0,1.926518969233343
0,24,24,0.0048657567240297794,0.8208615183830261,1.0,1.0,1.0,1.00400091334705
